problem,instance_id,population_size,generations,operator_id,n_seeds,median_quality,mean_quality,std_quality,min_quality,max_quality
tsp,eil51,50,30,swap,30,-1020.0,-1025.3333333333333,42.86573531817477,-1109.0,-938.0
tsp,eil51,50,30,inversion,30,-988.5,-988.1666666666666,41.8264751442015,-1116.0,-896.0
tsp,eil51,50,30,insert,30,-1018.5,-1018.8666666666667,39.93937935156862,-1098.0,-940.0
tsp,eil51,50,50,ox,30,-784.5,-792.6666666666666,43.32820482472512,-908.0,-729.0
tsp,eil51,50,50,pmx,30,-1115.0,-1107.9666666666667,72.85435794284628,-1286.0,-967.0
tsp,eil51,50,50,cx,30,-1272.0,-1270.3333333333333,51.11402623704104,-1358.0,-1157.0
tsp,eil51,50,50,swap,30,-939.5,-942.2,42.778015623561316,-1049.0,-859.0
tsp,eil51,50,50,inversion,30,-857.5,-860.1666666666666,33.1694534727083,-935.0,-797.0
tsp,eil51,50,50,insert,30,-915.0,-914.0333333333333,40.6460612956603,-1001.0,-861.0
tsp,berlin52,20,20,ox,30,-20551.0,-20512.966666666667,996.0477929030949,-23649.0,-18908.0
tsp,berlin52,20,20,pmx,30,-22706.0,-22624.633333333335,1065.7895400491416,-24721.0,-19769.0
tsp,berlin52,20,20,cx,30,-25739.5,-25423.933333333334,1101.614267973277,-27105.0,-21748.0
tsp,berlin52,20,20,swap,30,-20722.5,-20764.8,968.8142913037992,-22757.0,-19030.0
tsp,berlin52,20,20,inversion,30,-20646.5,-20710.733333333334,960.5911948785294,-22600.0,-18940.0
tsp,berlin52,20,20,insert,30,-21251.5,-20973.666666666668,831.6838479786088,-22121.0,-19344.0
tsp,berlin52,20,30,ox,30,-19734.5,-19611.5,1332.2352942743803,-23649.0,-16168.0
tsp,berlin52,20,30,pmx,30,-22706.0,-22624.633333333335,1065.7895400491416,-24721.0,-19769.0
tsp,berlin52,20,30,cx,30,-25739.5,-25423.933333333334,1101.614267973277,-27105.0,-21748.0
tsp,berlin52,20,30,swap,30,-19379.5,-19272.433333333334,1040.5413936763991,-21146.0,-17113.0
tsp,berlin52,20,30,inversion,30,-18970.0,-19025.0,761.6581276716449,-20590.0,-17805.0
tsp,berlin52,20,30,insert,30,-19449.0,-19213.866666666665,919.3751151183344,-20818.0,-17034.0
tsp,berlin52,20,50,ox,30,-19188.0,-19031.7,1705.4198421300941,-23649.0,-16068.0
tsp,berlin52,20,50,pmx,30,-22706.0,-22624.633333333335,1065.7895400491416,-24721.0,-19769.0
tsp,berlin52,20,50,cx,30,-25739.5,-25423.933333333334,1101.614267973277,-27105.0,-21748.0
tsp,berlin52,20,50,swap,30,-17315.5,-17502.3,741.1391581370788,-19091.0,-16261.0
tsp,berlin52,20,50,inversion,30,-16583.0,-16604.433333333334,799.5726308185035,-18148.0,-15571.0
tsp,berlin52,20,50,insert,30,-17581.5,-17325.4,886.7031770203213,-18826.0,-15116.0
tsp,berlin52,50,20,ox,30,-18367.0,-18163.733333333334,902.2479945548013,-19887.0,-16095.0
tsp,berlin52,50,20,pmx,30,-19173.5,-19424.666666666668,1279.6234180234521,-22169.0,-17105.0
tsp,berlin52,50,20,cx,30,-23219.0,-23192.933333333334,1123.8330939194243,-25520.0,-20816.0
tsp,berlin52,50,20,swap,30,-19835.0,-19776.7,709.2602338425191,-20846.0,-17927.0
tsp,berlin52,50,20,inversion,30,-19535.0,-19663.5,788.1338828152101,-21081.0,-18032.0
tsp,berlin52,50,20,insert,30,-20045.5,-19965.433333333334,954.9163416447693,-21528.0,-17727.0
tsp,berlin52,50,30,ox,30,-16408.0,-16423.433333333334,832.3341787151788,-18195.0,-14430.0
tsp,berlin52,50,30,pmx,30,-18831.0,-19048.066666666666,1494.6511052539256,-22049.0,-16181.0
tsp,berlin52,50,30,cx,30,-23219.0,-23192.933333333334,1123.8330939194243,-25520.0,-20816.0
tsp,berlin52,50,30,swap,30,-18335.0,-18352.333333333332,705.777113069936,-19534.0,-16814.0
tsp,berlin52,50,30,inversion,30,-17865.5,-17790.133333333335,773.4333546098129,-19021.0,-16364.0
tsp,berlin52,50,30,insert,30,-18194.0,-18211.5,1029.4139527939653,-20117.0,-15924.0
tsp,berlin52,50,50,ox,30,-14056.5,-14109.733333333334,692.0445437793095,-15646.0,-12766.0
tsp,berlin52,50,50,pmx,30,-18831.0,-19035.1,1511.7548457977912,-22049.0,-16181.0
tsp,berlin52,50,50,cx,30,-23219.0,-23192.933333333334,1123.8330939194243,-25520.0,-20816.0
tsp,berlin52,50,50,swap,30,-16681.0,-16708.666666666668,602.095440557583,-17810.0,-15412.0
tsp,berlin52,50,50,inversion,30,-15335.0,-15296.633333333333,613.9831224982033,-16472.0,-13734.0
tsp,berlin52,50,50,insert,30,-16537.5,-16448.166666666668,782.4514563915102,-18223.0,-14554.0
knapsack,n20_uncorrelated,20,20,singlepoint,30,7442.5,7444.366666666667,319.94153381121254,6754.0,8154.0
knapsack,n20_uncorrelated,20,20,uniform,30,7812.0,7686.9,457.93376648021774,6654.0,8289.0
knapsack,n20_uncorrelated,20,20,bitflip,30,8141.5,8078.8,223.35813209376056,7372.0,8359.0
knapsack,n20_uncorrelated,20,20,swapbit,30,7705.0,7827.966666666666,338.1027678224409,7082.0,8359.0
knapsack,n20_uncorrelated,20,30,singlepoint,30,7442.5,7444.366666666667,319.94153381121254,6754.0,8154.0
knapsack,n20_uncorrelated,20,30,uniform,30,7812.0,7686.9,457.93376648021774,6654.0,8289.0
knapsack,n20_uncorrelated,20,30,bitflip,30,8226.5,8170.733333333334,178.47513751960992,7636.0,8359.0
knapsack,n20_uncorrelated,20,30,swapbit,30,7705.0,7869.966666666666,321.06981551802966,7279.0,8359.0
knapsack,n20_uncorrelated,20,50,singlepoint,30,7442.5,7444.366666666667,319.94153381121254,6754.0,8154.0
knapsack,n20_uncorrelated,20,50,uniform,30,7812.0,7686.9,457.93376648021774,6654.0,8289.0
knapsack,n20_uncorrelated,20,50,bitflip,30,8289.0,8269.4,152.44526434327062,7797.0,8537.0
knapsack,n20_uncorrelated,20,50,swapbit,30,7705.0,7887.5,317.58243567344186,7342.0,8359.0
knapsack,n20_uncorrelated,50,20,singlepoint,30,8070.0,8026.7,248.67166415119385,7435.0,8325.0
knapsack,n20_uncorrelated,50,20,uniform,30,8329.0,8294.433333333332,183.48629251317354,7702.0,8537.0
knapsack,n20_uncorrelated,50,20,bitflip,30,8214.0,8199.4,129.6740210070542,7887.0,8537.0
knapsack,n20_uncorrelated,50,20,swapbit,30,8039.0,8042.333333333333,249.8511740925031,7611.0,8359.0
knapsack,n20_uncorrelated,50,30,singlepoint,30,8070.0,8026.7,248.67166415119385,7435.0,8325.0
knapsack,n20_uncorrelated,50,30,uniform,30,8329.0,8294.433333333332,183.48629251317354,7702.0,8537.0
knapsack,n20_uncorrelated,50,30,bitflip,30,8324.0,8319.0,109.6367041485274,8058.0,8537.0
knapsack,n20_uncorrelated,50,30,swapbit,30,8113.0,8095.0,238.50019879988824,7638.0,8359.0
knapsack,n20_uncorrelated,50,50,singlepoint,30,8070.0,8026.7,248.67166415119385,7435.0,8325.0
knapsack,n20_uncorrelated,50,50,uniform,30,8329.0,8294.433333333332,183.48629251317354,7702.0,8537.0
knapsack,n20_uncorrelated,50,50,bitflip,30,8347.0,8397.366666666667,95.33660270899081,8273.0,8537.0
knapsack,n20_uncorrelated,50,50,swapbit,30,8113.0,8114.166666666667,239.57722580920915,7704.0,8359.0
knapsack,n20_weakly,20,20,singlepoint,30,5198.5,5202.1,76.26150563278509,5054.0,5409.0
knapsack,n20_weakly,20,20,uniform,30,5319.5,5298.8,124.30035925267805,4959.0,5510.0
knapsack,n20_weakly,20,20,bitflip,30,5350.0,5364.466666666666,82.7175223622367,5219.0,5540.0
knapsack,n20_weakly,20,20,swapbit,30,5428.5,5426.933333333333,60.0200732705509,5293.0,5570.0
