function,dimension,population_size,generations,n_seeds,mean_fitness,std_fitness,median_fitness,min_fitness,max_fitness
sphere,5,20,20,30,8.853897305826242,5.2313161496972205,8.20431144193737,0.7753269107482232,22.208641931707795
sphere,5,20,30,30,7.026750498873801,4.558779443682436,6.641154509997408,0.3013714606740563,19.056623793450612
sphere,5,20,50,30,4.102963411816178,3.3984711949059787,3.302887411322801,0.006342949240598726,13.215231283326945
sphere,5,50,20,30,4.521507211688398,2.4016166426305663,4.788346665295987,0.5362129677251213,8.827151389808366
sphere,5,50,30,30,3.1122835115815333,1.9057050539416411,3.4217714388484644,0.18220170976229622,6.700730451369253
sphere,5,50,50,30,1.1345344090311968,1.0242516965776531,0.9991953927975328,0.0004279642064030866,3.4322953892637282
sphere,10,20,20,30,34.67149009677879,11.256415927717574,32.13804250572838,13.443800968056589,59.92257274673597
sphere,10,20,30,30,32.02411472973393,10.87644349512938,29.65878411122118,11.329208145187458,56.54269416507281
sphere,10,20,50,30,26.76162094952723,9.740268507852033,25.27187597365407,7.891693475098573,48.20700413229684
sphere,10,50,20,30,26.934903295270896,7.120810674760789,27.351004689252978,11.735683062919621,44.68452832705749
sphere,10,50,30,30,24.232551891927983,6.758025767914122,24.438642241847965,9.948558209521789,41.662654612138596
sphere,10,50,50,30,18.896278593667695,5.762964816182133,19.133696554697313,7.619212252492471,34.76647363571299
rastrigin,5,20,20,30,20.844803764993447,7.751109169440633,21.802838157746265,4.2056939774375905,39.83755688497137
rastrigin,5,20,30,30,19.89617697157927,7.839429561658137,20.444992995810658,4.0907343082743,39.81652930965006
rastrigin,5,20,50,30,19.810893975456267,7.8659888595681275,20.404538699488278,3.9946170453362413,39.80750645738974
rastrigin,5,50,20,30,14.67842993010296,5.750794955711365,14.99318047071483,4.050038879239452,28.88110278398629
rastrigin,5,50,30,30,14.5224545730168,5.780287876517632,14.939025492955459,4.001606140917502,28.864483530538422
rastrigin,5,50,50,30,14.496248017943417,5.781267711912072,14.926050618619069,3.982327394468058,28.855148933973034
rastrigin,10,20,20,30,73.63924766025714,13.375042730743232,71.5865912585665,47.27336290338394,105.09567332686453
rastrigin,10,20,30,30,62.75702576770719,15.201140163506825,60.436057885361876,31.076724080708516,92.78869380614299
rastrigin,10,20,50,30,55.55225921707827,15.643531906702318,54.29936533990968,26.267435285558037,89.1127690811403
rastrigin,10,50,20,30,54.58185815981421,9.835672954630098,54.450323044720804,31.17592849122181,75.2787086407854
rastrigin,10,50,30,30,47.581836208274474,11.130986143571757,45.616337839902044,24.14420297757883,73.48601961689461
rastrigin,10,50,50,30,45.21268363383855,11.893133571383856,44.97261290491683,22.17758812548304,72.80723395894898
rosenbrock,5,20,20,30,51.60946665440961,41.14348270853326,45.275944449302145,3.3588504477529653,176.62177032670647
rosenbrock,5,20,30,30,26.148735770898476,26.20484197917822,19.047822476607692,2.0684350393837865,95.31841990959269
rosenbrock,5,20,50,30,8.82822794547622,14.524828386786913,3.875691562641779,0.6484117375763979,70.35398155785711
rosenbrock,5,50,20,30,17.59619905342339,22.585580667666324,8.24129499409088,0.926955032647827,86.84341967187062
rosenbrock,5,50,30,30,7.743322944627223,13.50032062148367,4.24113044787023,0.05497750130730356,56.86503503104997
rosenbrock,5,50,50,30,2.685644049846337,1.982648978953205,2.515888685247335,0.002994354270293659,8.644392155247392
rosenbrock,10,20,20,30,580.1741515047277,319.4028009655008,528.4703378151848,104.13646303291097,1347.3999415772457
rosenbrock,10,20,30,30,401.56488700496027,222.76897663281957,371.70155690933177,79.25002785948178,935.642290539661
rosenbrock,10,20,50,30,199.97687045892417,125.11485902401769,172.92321934017772,35.62078722160676,545.7584417720361
rosenbrock,10,50,20,30,320.3588848215183,122.94143332063166,318.9956499092553,96.85703566769321,566.8938817824823
rosenbrock,10,50,30,30,212.2948585222973,93.50111473929803,199.94805734249357,48.10710581132244,428.60119261838537
rosenbrock,10,50,50,30,103.4796407723988,57.32159473331905,99.68189227416028,14.686456052838045,282.03043503169425
