problem,instance_id,population_size,generations,pool_variant,o_star,o_star_count,o_star_median
knapsack,n30_strongly,50,30,reduced,uniform,1,8947.0
knapsack,n30_strongly,50,50,full,bitflip,1,8955.0
knapsack,n30_strongly,50,50,reduced,bitflip,1,8955.0
knapsack,n50_uncorrelated,20,20,full,uniform,1,16207.5
knapsack,n50_uncorrelated,20,20,reduced,uniform,1,16207.5
knapsack,n50_uncorrelated,20,30,full,bitflip,1,17059.5
knapsack,n50_uncorrelated,20,30,reduced,bitflip,1,17059.5
knapsack,n50_uncorrelated,20,50,full,bitflip,1,17854.5
knapsack,n50_uncorrelated,20,50,reduced,bitflip,1,17854.5
knapsack,n50_uncorrelated,50,20,full,uniform,1,18434.0
knapsack,n50_uncorrelated,50,20,reduced,uniform,1,18434.0
knapsack,n50_uncorrelated,50,30,full,uniform,1,18434.0
knapsack,n50_uncorrelated,50,30,reduced,uniform,1,18434.0
knapsack,n50_uncorrelated,50,50,full,uniform,1,18434.0
knapsack,n50_uncorrelated,50,50,reduced,uniform,1,18434.0
knapsack,n50_weakly,20,20,full,swapbit,1,10918.5
knapsack,n50_weakly,20,20,reduced,bitflip,1,10774.0
knapsack,n50_weakly,20,30,full,swapbit,1,10987.0
knapsack,n50_weakly,20,30,reduced,bitflip,1,10825.5
knapsack,n50_weakly,20,50,full,swapbit,1,11118.0
knapsack,n50_weakly,20,50,reduced,bitflip,1,10963.0
knapsack,n50_weakly,50,20,full,swapbit,1,11088.0
knapsack,n50_weakly,50,20,reduced,uniform,1,11035.5
knapsack,n50_weakly,50,30,full,swapbit,1,11134.0
knapsack,n50_weakly,50,30,reduced,uniform,1,11070.0
knapsack,n50_weakly,50,50,full,swapbit,1,11218.0
knapsack,n50_weakly,50,50,reduced,bitflip,1,11091.5
knapsack,n50_strongly,20,20,full,bitflip,1,15924.0
knapsack,n50_strongly,20,20,reduced,bitflip,1,15924.0
knapsack,n50_strongly,20,30,full,bitflip,1,15934.0
knapsack,n50_strongly,20,30,reduced,bitflip,1,15934.0
knapsack,n50_strongly,20,50,full,bitflip,1,16006.0
knapsack,n50_strongly,20,50,reduced,bitflip,1,16006.0
knapsack,n50_strongly,50,20,full,uniform,1,16122.5
